Flow data
Thursday, March 24, 2022 11:59:59.341
TEMP_SMC1	FLOW_SMC1	TEMP_SMC2	FLOW_SMC2	TEMP_SMC3	FLOW_SMC3	valeur_HT
25.134838	0.076811	25.384853	0.062617	25.336463	0.070359	4775.101293
25.150968	0.076811	25.392918	0.070359	25.384853	0.074230	5115.670986
25.167098	0.079392	25.409048	0.074230	25.336463	0.074230	4806.361314
25.126773	0.074230	25.392918	0.065198	25.328398	0.072940	5092.637287
25.159033	0.075521	25.392918	0.065198	25.352593	0.075521	4776.746558
25.150968	0.072940	25.376788	0.065198	25.328398	0.075521	5089.346759
25.126773	0.070359	25.376788	0.065198	25.352593	0.070359	4835.976069
25.167098	0.078102	25.400983	0.069069	25.320333	0.071650	5092.637287
25.150968	0.071650	25.368723	0.063907	25.360658	0.066488	4733.969688
25.167098	0.074230	25.409048	0.069069	25.344528	0.069069	5097.573080
25.183228	0.076811	25.392918	0.066488	25.328398	0.071650	4839.266598
25.134838	0.072940	25.360658	0.063907	25.368723	0.069069	5115.670986
25.183228	0.072940	25.376788	0.062617	25.360658	0.074230	4814.587635
25.159033	0.072940	25.400983	0.067778	25.336463	0.069069	5120.606779
25.183228	0.074230	25.409048	0.070359	25.328398	0.072940	4817.878163
25.134838	0.074230	25.368723	0.069069	25.344528	0.070359	5122.252043
25.150968	0.071650	25.384853	0.070359	25.384853	0.070359	4826.104484
25.167098	0.075521	25.376788	0.069069	25.328398	0.074230	5112.380458
25.142903	0.070359	25.384853	0.063907	25.336463	0.067778	4687.902290
25.159033	0.076811	25.400983	0.069069	25.360658	0.072940	5077.829909
25.159033	0.075521	25.417113	0.069069	25.352593	0.070359	4773.456029
25.150968	0.071650	25.368723	0.065198	25.360658	0.070359	5100.863608
25.167098	0.069069	25.384853	0.063907	25.328398	0.069069	4738.905481
25.159033	0.076811	25.392918	0.067778	25.344528	0.079392	5090.992023
25.126773	0.072940	25.368723	0.065198	25.320333	0.070359	4758.648651
25.167098	0.078102	25.376788	0.072940	25.376788	0.072940	5117.316250
25.142903	0.074230	25.376788	0.066488	25.360658	0.072940	4839.266598
25.167098	0.072940	25.417113	0.065198	25.320333	0.076811	5133.768892
25.126773	0.074230	25.360658	0.066488	25.344528	0.067778	4812.942370
25.167098	0.076811	25.384853	0.067778	25.360658	0.071650	5097.573080
25.142903	0.076811	25.384853	0.065198	25.344528	0.067778	4776.746558
25.167098	0.078102	25.417113	0.069069	25.360658	0.074230	5120.606779
25.167098	0.076811	25.392918	0.071650	25.360658	0.074230	4827.749748
25.134838	0.071650	25.384853	0.063907	25.360658	0.066488	5138.704685
25.126773	0.075521	25.368723	0.069069	25.328398	0.071650	4765.229708
25.167098	0.078102	25.400983	0.070359	25.336463	0.071650	5092.637287
25.126773	0.071650	25.376788	0.062617	25.336463	0.069069	4789.908671
25.159033	0.076811	25.409048	0.069069	25.368723	0.074230	5097.573080
25.159033	0.079392	25.400983	0.067778	25.368723	0.072940	4704.354932
25.118708	0.072940	25.368723	0.062617	25.328398	0.069069	5089.346759
25.142903	0.071650	25.368723	0.066488	25.336463	0.065198	4801.425521
25.175163	0.076811	25.392918	0.063907	25.384853	0.074230	5122.252043
25.142903	0.070359	25.360658	0.063907	25.336463	0.074230	4775.101293
25.175163	0.079392	25.400983	0.065198	25.344528	0.075521	5120.606779
25.142903	0.074230	25.400983	0.065198	25.352593	0.072940	4842.557126
